,similarity,sentence1,sentence2
6115,neutral,The man with the bag is standing on the corner.,The man with the bag is standing on the corner waiting for his wife
6116,entailment,The man with the bag is standing on the corner.,The man is standing outside
6117,contradiction,The man with the bag is standing on the corner.,The man with the bag is walking across the street
6118,entailment,An elderly gentleman ransacking a waste container.,An old man looks through a garbage can.
6119,neutral,An elderly gentleman ransacking a waste container.,A homeless man seeks his dinner.
6120,contradiction,An elderly gentleman ransacking a waste container.,A woman knits baby booties.
6121,neutral,A man and woman sit at a cluttered table.,The people are a couple.
6122,entailment,A man and woman sit at a cluttered table.,There are people at a table.
6123,contradiction,A man and woman sit at a cluttered table.,The table is neat and clean.
6124,entailment,a group of people walking down road heading away from the camera.,"Several people walk down the road, backs facing the camera."
6125,contradiction,a group of people walking down road heading away from the camera.,A group of guys play football in a grassy field.
6126,neutral,a group of people walking down road heading away from the camera.,"A group of guys walk down the road towards a bar, backs facing the camera."
6127,contradiction,The couple are wearing glasses intended for 3D movies.,A couple are wearing sunglasses.
6128,entailment,The couple are wearing glasses intended for 3D movies.,A couple are both wearing accessories.
6129,neutral,The couple are wearing glasses intended for 3D movies.,A couple is going to watch a 3D movie.
6130,neutral,"A blond woman wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.",A tall person in a bikini
6131,contradiction,"A blond woman wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.",The beach is empty
6132,entailment,"A blond woman wearing a blue and pink floral tie-front bikini on a beach, readying to put a flagpole in the sand.",A person in a bikini
6133,contradiction,Uniformed schoolgirls are walking together on the street.,The girls walk separately down the street.
6134,neutral,Uniformed schoolgirls are walking together on the street.,The girls are walking home from school.
6135,entailment,Uniformed schoolgirls are walking together on the street.,The girls attend school.
6136,entailment,A woman is sitting at a desk near to a window that has a huge picture of a hand painted on it.,A person sitting
6137,neutral,A woman is sitting at a desk near to a window that has a huge picture of a hand painted on it.,A tall person sitting
6138,contradiction,A woman is sitting at a desk near to a window that has a huge picture of a hand painted on it.,Nobody is sitting
6139,contradiction,A person climbs a cliff face in the woods while others watch.,A person climbs a tree in the woods.
6140,neutral,A person climbs a cliff face in the woods while others watch.,A young lady climbs a cliff face in the woods while others watch
6141,entailment,A person climbs a cliff face in the woods while others watch.,A person climbs a cliff face  in the woods.
6142,contradiction,Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals.,Troops are marching
6143,contradiction,Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals.,A boy is walking around
6144,entailment,Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals.,Troops are together
6145,entailment,A group of people gathered to watch fireworks.,Everyone is outside looking into the sky.
6146,neutral,A group of people gathered to watch fireworks.,There are some guys setting of fireworks.
6147,neutral,A group of people gathered to watch fireworks.,The group gathered inside the house.
6148,neutral,Four female athletes play beach volleyball at the London 2012 Olympics.,They are going to win it this year!
6149,entailment,Four female athletes play beach volleyball at the London 2012 Olympics.,The women are great at beach volleyball.
6150,contradiction,Four female athletes play beach volleyball at the London 2012 Olympics.,They were hurt in a crash on the way to the Olympics.
6151,contradiction,A black dog is chasing a ball on a green grass.,A black dog is sleeping.
6152,entailment,A black dog is chasing a ball on a green grass.,A black dog is running outside.
6153,neutral,A black dog is chasing a ball on a green grass.,A black dog is playing fetch with some kids.
6154,neutral,A singer is performing before a small crowd outside.,A local favorite sings for the first outdoor wedding of the season.
6155,entailment,A singer is performing before a small crowd outside.,A performer has a small audience outdoors.
6156,contradiction,A singer is performing before a small crowd outside.,A heavy metal band plays an arena show.
6157,neutral,A guy on inline skates with a white hat is on a yellow rail.,The guy on inline skates is trying to impress his girlfriend.
6158,entailment,A guy on inline skates with a white hat is on a yellow rail.,The guy is using inline skates.
6159,contradiction,A guy on inline skates with a white hat is on a yellow rail.,The guy with inline skates is sitting down.
6160,neutral,A man in a hat is working with golden colored flowers.,Someone is getting flowers for a gift.
6161,contradiction,A man in a hat is working with golden colored flowers.,Women are working with flowers.
6162,entailment,A man in a hat is working with golden colored flowers.,"A man in a hat is working with flowers,"
6163,contradiction,"A child in a red jacket, waist deep in a pit on the beach.",A child is building a sandcastle on the beach.
6164,neutral,"A child in a red jacket, waist deep in a pit on the beach.",A girl is digging a hole to lay in on the beach.
6165,entailment,"A child in a red jacket, waist deep in a pit on the beach.",A child on the beach
6166,entailment,A view down the train tracks in a large city.,A view outdoors.
